"linked_id","versiontags","newest_version"
3109,"[""8.0.1"", ""8.0.2""]","8.0.2"
1588,"[""2.46.0"", ""2.46.1"", ""2.47.0"", ""2.47.1"", ""2.47.2"", ""2.47.3"", ""2.48.0"", ""2.49.0"", ""2.49.1"", ""2.49.2"", ""2.49.3"", ""2.50.0"", ""3.0.0"", ""4.0.0"", ""5.0.0"", ""5.0.1"", ""6.0.1"", ""6.0.2"", ""7.0.0"", ""7.0.1"", ""7.0.2"", ""7.0.3"", ""7.0.4"", ""7.0.5"", ""7.0.6"", ""7.1.0"", ""8.0.1"", ""8.0.2""]","8.0.2"
2997,"[""7.0.5"", ""7.0.6"", ""7.1.0"", ""8.0.1"", ""8.0.2""]","8.0.2"
1981,"[""2.47.3"", ""2.48.0"", ""2.49.0"", ""2.49.1"", ""2.49.2"", ""2.49.3"", ""2.50.0"", ""3.0.0"", ""4.0.0"", ""5.0.0"", ""5.0.1"", ""6.0.1"", ""6.0.2"", ""7.0.0"", ""7.0.1"", ""7.0.2"", ""7.0.3"", ""7.0.4"", ""7.0.5"", ""7.0.6"", ""7.1.0"", ""8.0.1"", ""8.0.2""]","8.0.2"
1,"[]",NULL
2914,"[""7.0.1"", ""7.0.2"", ""7.0.3"", ""7.0.4"", ""7.0.5"", ""7.0.6"", ""7.1.0"", ""8.0.1"", ""8.0.2""]","8.0.2"
2693,"[""4.0.0"", ""5.0.0"", ""5.0.1"", ""6.0.1"", ""6.0.2"", ""7.0.0"", ""7.0.1"", ""7.0.2"", ""7.0.3"", ""7.0.4"", ""7.0.5"", ""7.0.6"", ""7.1.0"", ""8.0.1"", ""8.0.2""]","8.0.2"
1719,"[""2.46.1"", ""2.47.0"", ""2.47.1"", ""2.47.2"", ""2.47.3"", ""2.48.0"", ""2.49.0"", ""2.49.1"", ""2.49.2"", ""2.49.3"", ""2.50.0"", ""3.0.0"", ""4.0.0"", ""5.0.0"", ""5.0.1"", ""6.0.1"", ""6.0.2"", ""7.0.0"", ""7.0.1"", ""7.0.2"", ""7.0.3"", ""7.0.4"", ""7.0.5"", ""7.0.6"", ""7.1.0"", ""8.0.1"", ""8.0.2""]","8.0.2"
1345,"[]",NULL
2236,"[]",NULL
2162,"[""2.49.1"", ""2.49.2"", ""2.49.3"", ""2.50.0"", ""3.0.0"", ""4.0.0"", ""5.0.0"", ""5.0.1"", ""6.0.1"", ""6.0.2"", ""7.0.0"", ""7.0.1"", ""7.0.2"", ""7.0.3"", ""7.0.4"", ""7.0.5"", ""7.0.6"", ""7.1.0"", ""8.0.1"", ""8.0.2""]","8.0.2"
3022,"[""7.0.6"", ""7.1.0"", ""8.0.1"", ""8.0.2""]","8.0.2"
2566,"[""4.0.0"", ""5.0.0"", ""5.0.1"", ""6.0.1"", ""6.0.2"", ""7.0.0"", ""7.0.1"", ""7.0.2"", ""7.0.3"", ""7.0.4"", ""7.0.5"", ""7.0.6"", ""7.1.0"", ""8.0.1"", ""8.0.2""]","8.0.2"
1513,"[""2.46.0"", ""2.46.1"", ""2.47.0"", ""2.47.1"", ""2.47.2"", ""2.47.3"", ""2.48.0"", ""2.49.0"", ""2.49.1"", ""2.49.2"", ""2.49.3"", ""2.50.0"", ""3.0.0"", ""4.0.0"", ""5.0.0"", ""5.0.1"", ""6.0.1"", ""6.0.2"", ""7.0.0"", ""7.0.1"", ""7.0.2"", ""7.0.3"", ""7.0.4"", ""7.0.5"", ""7.0.6"", ""7.1.0"", ""8.0.1"", ""8.0.2""]","8.0.2"
3117,"[""8.0.1"", ""8.0.2""]","8.0.2"
2106,"[""2.49.0"", ""2.49.1"", ""2.49.2"", ""2.49.3"", ""2.50.0"", ""3.0.0"", ""4.0.0"", ""5.0.0"", ""5.0.1"", ""6.0.1"", ""6.0.2"", ""7.0.0"", ""7.0.1"", ""7.0.2"", ""7.0.3"", ""7.0.4"", ""7.0.5"", ""7.0.6"", ""7.1.0"", ""8.0.1"", ""8.0.2""]","8.0.2"
1491,"[""2.46.0"", ""2.46.1"", ""2.47.0"", ""2.47.1"", ""2.47.2"", ""2.47.3"", ""2.48.0"", ""2.49.0"", ""2.49.1"", ""2.49.2"", ""2.49.3"", ""2.50.0"", ""3.0.0"", ""4.0.0"", ""5.0.0"", ""5.0.1"", ""6.0.1"", ""6.0.2"", ""7.0.0"", ""7.0.1"", ""7.0.2"", ""7.0.3"", ""7.0.4"", ""7.0.5"", ""7.0.6"", ""7.1.0"", ""8.0.1"", ""8.0.2""]","8.0.2"
1575,"[""2.46.0"", ""2.46.1"", ""2.47.0"", ""2.47.1"", ""2.47.2"", ""2.47.3"", ""2.48.0"", ""2.49.0"", ""2.49.1"", ""2.49.2"", ""2.49.3"", ""2.50.0"", ""3.0.0"", ""4.0.0"", ""5.0.0"", ""5.0.1"", ""6.0.1"", ""6.0.2"", ""7.0.0"", ""7.0.1"", ""7.0.2"", ""7.0.3"", ""7.0.4"", ""7.0.5"", ""7.0.6"", ""7.1.0"", ""8.0.1"", ""8.0.2""]","8.0.2"
2608,"[""4.0.0"", ""5.0.0"", ""5.0.1"", ""6.0.1"", ""6.0.2"", ""7.0.0"", ""7.0.1"", ""7.0.2"", ""7.0.3"", ""7.0.4"", ""7.0.5"", ""7.0.6"", ""7.1.0"", ""8.0.1"", ""8.0.2""]","8.0.2"
